"type","title","date","rfReg","svmReg","rfClass","svmClass"
"TrumpRemarks","Remarks at Henderson Pavilion in Henderson, Nevada",2016-10-05,4.12,3.93,6,2
"TrumpRemarks","Remarks on Foreign Policy at the National Press Club in Washington, DC",2016-04-27,5.26,4.24,6,6
"TrumpRemarks","Remarks at the Delaware County Fairgrounds in Delaware, Ohio",2016-10-20,4.81,4.94,6,6
"TrumpRemarks","Remarks at the Reno-Sparks Convention Center in Reno, Nevada",2016-10-05,5.09,5.14,6,6
"TrumpRemarks","Remarks Announcing Candidacy for President in New York City",2015-06-16,2.75,3.95,2,1
"TrumpRemarks","Remarks in Virginia Beach, Virginia",2016-07-11,4.55,4.2,6,6
"TrumpRemarks","Remarks at a Rally at the Mid-America Center in Council Bluffs, Iowa",2016-09-28,4.02,4.1,6,6
"TrumpRemarks","Remarks at the Collier County Fairgrounds in Naples, Florida",2016-10-23,4.75,4.9,6,6
"TrumpRemarks","Remarks at the Budweiser Events Center in Loveland, Colorado",2016-10-03,3.69,2.98,2,2
"TrumpRemarks","Remarks at a Rally at the New Hampshire Sportsplex in Bedford, New Hampshire",2016-09-29,3.84,4.19,6,6
"TrumpRemarks","Remarks at High Point University in High Point, North Carolina",2016-09-20,4.06,4.01,6,1
"TrumpRemarks","Remarks at the Remembrance Project Luncheon at the Omni Houston Hotel at Westside in Houston, Texas",2016-09-17,4.36,3.79,6,1
"TrumpRemarks","Remarks on Immigration at the Phoenix Convention Center in Phoenix, Arizona",2016-08-31,3.16,4.75,2,6
"TrumpRemarks","Remarks at Saint Anselm College in Manchester, New Hampshire",2016-06-13,4.91,4.09,6,6
"TrumpRemarks","Remarks at the Suburban Collection Showplace in Novi, Michigan",2016-09-30,4.19,4.06,6,1
"TrumpRemarks","Remarks at the Roberts Centre in Wilmington, Ohio",2016-09-01,4.48,4.32,6,6
"TrumpRemarks","Remarks at Trump SoHo in New York City",2016-06-22,4.41,3.98,6,1
"TrumpRemarks","Remarks at the Renaissance Hotel in Columbus, Ohio",2016-10-13,3.06,4.18,2,6
"TrumpRemarks","Remarks at Seven Flags Event Center in Des Moines, Iowa",2016-09-13,4.26,4.43,7,6
"TrumpRemarks","Remarks at the Pueblo Convention Center in Pueblo, Colorado",2016-10-03,5.42,5.24,7,6
"TrumpRemarks","Address Accepting the Presidential Nomination at the Republican National Convention in Cleveland, Ohio",2016-07-21,4.02,4.93,7,6
"TrumpRemarks","Remarks at the South Florida Fair Expo Center in West Palm Beach, Florida",2016-10-13,2.1,4.02,2,1
"TrumpRemarks","Remarks at McGlohon Theatre at Spirit Square in Charlotte, North Carolina",2016-10-26,4.39,4.06,7,6
"TrumpRemarks","Remarks at a Rally at the Greenville Convention Center in Greenville, North Carolina",2016-09-06,5.07,4.08,6,6
"TrumpRemarks","Remarks to the Detroit Economic Club",2016-08-08,4.94,5.06,6,6
"TrumpRemarks","Remarks at the Jeffco Fairgrounds Event Center in Golden, Colorado",2016-10-29,4.19,3.94,6,1
"TrumpRemarks","Remarks at Youngstown State University in Youngstown, Ohio",2016-08-15,5.03,3.83,6,2
"TrumpRemarks","Remarks to the Economic Club of New York at the Waldorf Astoria in New York City",2016-09-15,5.51,5.28,6,6
"TrumpRemarks","Remarks at a Rally at Waukesha County Expo Center in Waukesha, Wisconsin",2016-09-28,3.87,4,6,1
"TrumpRemarks","Remarks at Great Faith International Ministries in Detroit, Michigan",2016-09-03,6,4.16,6,6
"TrumpRemarks","Excerpts of Remarks at Aaron Bessant Park in Panama City, Florida",2016-10-11,3.94,3.9,6,1
"TrumpRemarks","Remarks on Proposals for the First 100 Days in Office at the Eisenhower Complex in Gettysburg, Pennsylvania",2016-10-22,2.44,4.08,2,6
"TrumpRemarks","Remarks at the AIPAC Policy Conference in Washington, DC",2016-03-21,4.76,3.97,7,1
"TrumpRemarks","Remarks to the American Legion in Cincinnati, Ohio",2016-09-01,4.58,4.02,6,1
"TrumpRemarks","Address to the National Guard Association of the United States 138th General Conference & Exhibition at the Baltimore Convention Center in Baltimore, Maryland",2016-09-12,3.73,4.01,6,1
"TrumpRemarks","Remarks at Luedecke Arena in Austin, Texas",2016-08-23,4.38,3.9,6,1
"TrumpRemarks","Remarks at the XFinity Arena in Everett, Washington",2016-08-30,5.03,5.09,6,6
"TrumpRemarks","Remarks at a Rally at the James L. Knight Center in Miami, Florida",2016-09-16,4.59,4.77,7,6
"TrumpRemarks","Remarks at the Cleveland Arts and Social Sciences Academy in Cleveland, Ohio",2016-09-08,4.4,5.07,6,6
"TrumpRemarks","Remarks at the Phoenix Convention Center in Phoenix, Arizona",2016-10-29,4.16,3.97,6,1
"TrumpRemarks","Remarks at a Rally at Canton Memorial Civic Center in Canton, Ohio",2016-09-14,4.54,5.16,7,6
"TrumpRemarks","Remarks at Prescott Valley Event Center in Prescott Valley, Arizona",2016-10-04,4.88,4.11,6,6
"TrumpRemarks","Remarks at the Union League of Philadelphia in Philadelphia, Pennsylvania",2016-09-07,4.24,4.29,6,6
"TrumpRemarks","Remarks at the Shale Insight TM Conferencee at the David L. Lawrence Convention Center in Pittsburgh, Pennsylvania",2016-09-22,4.26,4.43,6,6
"TrumpRemarks","Remarks at the KI Convention Center in Green Bay, Wisconsin",2016-10-17,4.72,4.78,6,6
"TrumpRemarks","Remarks in New York City Accepting Election as the 45th President of the United States",2016-11-09,5.34,4.05,7,6
"TrumpRemarks","News Conference in Doral, Florida",2016-07-27,4.46,4.16,4,1
"TrumpRemarks","Remarks at Toyota of Portsmouth in Portsmouth, New Hampshire ",2016-10-15,4.4,4.23,6,6
"TrumpRemarks","Remarks at the Cross Insurance Center in Bangor, Maine",2016-10-15,4.13,4.02,6,6
"TrumpRemarks","Remarks at a Rally at Berglund Center in Roanoke, Virginia",2016-09-24,4.59,5.04,7,6
"TrumpRemarks","Remarks at a Rally at the Pensacola Bay Center in Pensacola, Florida",2016-09-09,4.57,4.12,6,6
"TrumpRemarks","Remarks to the 11th Annual Values Voter Summit in Washington, DC Omni Shoreham Hotel, Washington, D.C.",2016-09-09,2.99,4.57,2,6
"TrumpRemarks","Remarks at the WNC Agricultural Center's Davis Event Center in Fletcher, North Carolina",2016-10-21,4.47,4.49,6,6
"TrumpRemarks","Remarks Introducing Governor Mike Pence as the 2016 Republican Vice Presidential Nominee in New York City",2016-07-16,3.12,4.48,2,6
"TrumpRemarks","Remarks at the Washington County Fair Park in West Bend, Wisconsin",2016-08-16,5,4.44,7,2
"TrumpRemarks","Remarks at the Charlotte Convention Center in Charlotte, North Carolina",2016-08-18,5.09,4.33,7,6
"TrumpRemarks","Remarks at the US Cellular Center in Asheville, North Carolina",2016-09-12,3.09,4.07,2,1
"TrumpRemarks","Remarks at a Rally at Sun Center Studios in Chester Township, Pennsylvania",2016-09-22,3.15,5.09,2,6
"TrumpRemarks","Remarks at the Newtown Athletic Club Sports Training Center in Newtown, Pennsylvania",2016-10-21,4.6,4.27,6,6
"TrumpRemarks","Remarks at Aston Community Center in Aston, Pennsylvania",2016-09-13,4.24,4.17,6,6
"TrumpStatements","Statement Regarding Trump University",2016-06-07,5.57,5.37,7,6
"TrumpStatements","Statement in Response to the Pope",2016-02-18,2.61,4.01,2,1
"TrumpStatements","Statement on Justice Scalia",2016-02-13,4.87,4.01,8,1
"TrumpStatements","Statement Regarding Abortion",2016-03-30,3.88,4.01,1,1
"TrumpStatements","Statement Responding to Cruz Accusations on National Enquirer Story",2016-03-25,4.08,4.01,8,1
"TrumpStatements","Statement Statement on Preventing Muslim Immigration",2015-12-07,4.2,4.01,6,1
"TrumpStatements","Statement on Receiving Historic Endorsement From America's Border Patrol Agents",2016-03-30,3.03,4.01,2,1
"TrumpStatements","Statement on Veterans Day",2015-11-11,2.27,4.14,1,6
"TrumpStatements","Statement on Continued Terrorist Attacks Against Israeli Citizens",2016-07-01,4.76,4.01,1,1
"TrumpStatements","Statement Responding to the Lies of Senator Cruz and Warns of Legal Action",2016-02-15,5.49,4.07,8,1
"TrumpStatements","Statement in Response to Lindsey Graham",2016-05-06,4.33,4.01,1,1
"TrumpStatements","Statement Responding to the Most Recent Outburst From Ted Cruz",2016-05-03,3.89,4.01,1,1
"TrumpStatements","Statement on Hillary Clinton's Bad Judgment and the Rigged System",2016-07-05,4.79,4.01,1,1
"TrumpStatements","Statement on Debating Bernie Sanders",2016-05-27,4.39,4.01,1,1
"TrumpStatements","Statement in Response to Ted Cruz Vice President Selection",2016-04-27,2.85,4.01,1,1
"TrumpStatements","Statement in Response to Hillary Clinton",2015-07-14,5.14,4.01,7,1
"TrumpStatements","Statement on False Accusation from Hillary Clinton",2016-07-04,3.46,4.01,1,1
"TrumpStatements","Statement Regarding West Virginia and Nebraska Primary Victories",2016-05-10,4.64,4.01,6,1
"TrumpStatements","Statement on Hallel Yaffa Ariel",2016-07-01,3.29,4.01,1,1
"TrumpStatements","Statement on AFL-CIO Endorsement of Hillary Clinton",2016-06-16,4.77,4.02,6,1
"TrumpStatements","Statement in Response to Cruz and Kasich Campaigns",2016-04-24,3.73,3.97,1,1
"TrumpStatements","Statement on the Shootings of Police Officers in Dallas",2016-07-08,2.94,4.01,2,1
"TrumpStatements","Statement on Executive Amnesty Ruling",2016-06-23,5.09,4.01,6,1
"TrumpStatements","Statement on Atlantic City Record",2016-07-06,4.2,4.01,7,1
"TrumpStatements","Statement Regarding Tragic Terrorist Attack in Orlando, Florida",2016-06-12,4.4,4,6,6
"TrumpStatements","Statement on Unauthorized RNC Fundraising Notice",2016-02-13,2.36,4.01,1,1
"TrumpStatements","Statement in Response to Hillary Clinton",2016-05-19,3.58,4.01,2,1
"TrumpStatements","Statement on New Census Data Showing Record Immigration Growth",2016-03-07,3.65,4.01,6,1
"TrumpStatements","Statement on the Budget Deal",2015-12-17,2.54,4.01,2,1
"TrumpStatements","Statement on Position on Visas",2016-03-03,3.05,4.01,1,1
"TrumpStatements","Statement Regarding the British Referendum on E.U. Membership",2016-06-24,3.02,4.01,2,1
"TrumpStatements","Statement on the Iran Agreement",2015-07-15,2.77,4.01,2,1
"TrumpStatements","Statement on Record of Health",2015-12-14,4.57,4.01,6,1
